 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          262116               1               1            0.01             0.3       -0.945227               1               0        0.577935        0.151236       0.0483582
    262144          262109               1               1            0.01        0.394523       -0.261023               1               0        0.508268        0.024628       0.0487247
    262144          262104               1               1            0.01        0.420625       -0.212319               1               0         0.50932       0.0155152       0.0489179
    262144          262084               1               1            0.01        0.441857       -0.146455               1               0        0.503561      0.00802024       0.0475524
    262144          262084               1               1            0.01        0.456502       -0.102516               1               0        0.502894      0.00426525       0.0471631
    262144          262096               1               1            0.01        0.466754      -0.0713414               1               0        0.501315      0.00229296       0.0470179
    262144          262094               1               1            0.01        0.473888      -0.0588211               1               0         0.50169      0.00149582       0.0516471
    262144          262093               1               1            0.01         0.47977      -0.0433496               1               0        0.500229     0.000859211       0.0471553
    262144          262088               1               1            0.01        0.484105      -0.0299846               1               0        0.499543     0.000469023       0.0473544
    262144          262085               1               1            0.01        0.487104      -0.0257941               1               0        0.500225     0.000328359       0.0469799
    262144          262097               1               1            0.01        0.489683      -0.0215389               1               0        0.500093     0.000219922        0.046975
    262144          262091               1               1            0.01        0.491837      -0.0160267               1               0        0.499902     0.000129758       0.0469718
    262144          262095               1               1            0.01         0.49344      -0.0134299               1               0        0.500026     8.75266e-05       0.0473843
    262144          262082               1               1            0.01        0.494783      -0.0105149               1               0         0.50004     5.45739e-05       0.0470328
    262144          262096               1               1            0.01        0.495834     -0.00743969               1               0        0.499828     3.08637e-05       0.0469265
    262144          262087               1               1            0.01        0.496578     -0.00802237               1               0         0.50021     2.73578e-05       0.0469221
    262144          262078               1               1            0.01         0.49738     -0.00492161               1               0        0.499927     1.28592e-05       0.0470839
    262144          262078               1               1            0.01        0.497873     -0.00442062               1               0        0.500008     9.38485e-06       0.0469889
    262144          262085               1               1            0.01        0.498315     -0.00346542               1               0        0.499993     5.83092e-06       0.0472231
    262144          262091               1               1            0.01        0.498661     -0.00285198               1               0        0.500019     3.81339e-06       0.0471534
    262144          262085               1               1            0.01        0.498946     -0.00209171               1               0        0.499989     2.20171e-06       0.0475804
    262144          262076               1               1            0.01        0.499155     -0.00156423               1               0        0.499973     1.31992e-06       0.0481028
    262144          262087               1               1            0.01        0.499312     -0.00145046               1               0        0.500019      9.9738e-07       0.0487139
    262144          262083               1               1            0.01        0.499457     -0.00107191               1               0        0.499991     5.81793e-07       0.0491019
    262144          262092               1               1            0.01        0.499564    -0.000796689               1               0        0.499992       3.471e-07       0.0476607
    262144          262075               1               1            0.01        0.499644    -0.000666863               1               0        0.499994     2.37451e-07       0.0471513
    262144          262074               1               1            0.01         0.49971    -0.000570556               1               0        0.499993     1.65135e-07       0.0469856
    262144          262087               1               1            0.01        0.499768    -0.000468164               1               0        0.499997     1.08803e-07       0.0470638
    262144          262075               1               1            0.01        0.499814    -0.000355733               1               0        0.499998     6.60262e-08        0.047838
    262144          262096               1               1            0.01         0.49985    -0.000297478               1               0        0.499995     4.46352e-08        0.047655
    262144          262069               1               1            0.01         0.49988    -0.000238474               1               0             0.5     2.86897e-08       0.0476249
    262144          262088               1               1            0.01        0.499904    -0.000204524               1               0        0.500002      1.9729e-08       0.0475119
    262144          262084               1               1            0.01        0.499924    -0.000162666               1               0        0.500002     1.23649e-08       0.0475628
    262144          262085               1               1            0.01         0.49994    -0.000118217               1               0        0.499999     7.06343e-09       0.0512734
    262144          262102               1               1            0.01        0.499952    -8.53258e-05               1               0        0.499998      4.0896e-09       0.0529284
    262144          262081               1               1            0.01        0.499961    -8.54895e-05               1               0        0.500001     3.36805e-09       0.0495029
    262144          262080               1               1            0.01        0.499969    -6.15593e-05               1               0             0.5     1.89903e-09       0.0494242
    262144          262082               1               1            0.01        0.499975    -4.54796e-05               1               0             0.5     1.12303e-09       0.0491001
    262144          262089               1               1            0.01         0.49998    -3.89184e-05               1               0             0.5     7.84037e-10       0.0488483
    262144          262075               1               1            0.01        0.499984    -3.42824e-05               1               0        0.500001     5.57237e-10       0.0488457
    262144          262070               1               1            0.01        0.499987    -2.87674e-05               1               0        0.500001     3.68973e-10       0.0491278
    262144          262087               1               1            0.01         0.49999       -1.77e-05               1               0             0.5      1.7609e-10       0.0493554
    262144          262091               1               1            0.01        0.499992    -1.46673e-05               1               0             0.5      1.1996e-10        0.049297
    262144          262078               1               1            0.01        0.499993    -1.34019e-05               1               0             0.5     8.99593e-11       0.0492678
    262144          262087               1               1            0.01        0.499995    -9.94607e-06               1               0             0.5     5.34355e-11       0.0491176
