 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          260652               1               1             0.1             0.1          -8.373               1               0         1.14836         2.00952       0.0271327
    262144          260036               1               1             0.1            0.12        -11.0646               1               0         1.30419         2.60682       0.0249005
    262144          259997               1               1             0.1            0.14        -6.62062               1               0         1.10674         1.52539       0.0259771
    262144          260327               1               1             0.1            0.16        -2.23027               1               0         0.69141        0.500473       0.0255342
    262144          259946               1               1             0.1            0.18          -4.685               1               0        0.798278         1.01946       0.0254662
    262144          259817               1               1             0.1             0.2        -3.54721               1               0        0.782443        0.744913       0.0256001
    262144          260043               1               1             0.1            0.22        -1.66901               1               0        0.597289        0.336472       0.0256823
    262144          259603               1               1             0.1            0.24        -2.80708               1               0        0.670576        0.540083       0.0254778
    262144          259200               1               1             0.1            0.26        -1.56261               1               0        0.681856         0.28502       0.0254685
    262144          259381               1               1             0.1            0.28        -1.09634               1               0        0.596327        0.188132       0.0254597
    262144          259150               1               1             0.1             0.3        -1.00723               1               0         0.59275        0.161157       0.0246465
    262144          259256               1               1             0.1            0.32       -0.970603               1               0        0.562217        0.143261       0.0245735
    262144          258797               1               1             0.1            0.34       -0.750217               1               0        0.569473        0.100829       0.0247172
    262144          258892               1               1             0.1            0.36       -0.553378               1               0        0.538085       0.0666268       0.0245904
    262144          259169               1               1             0.1            0.38       -0.264214               1               0        0.499748        0.027901       0.0245499
    262144          258902               1               1             0.1             0.4       -0.219567               1               0        0.504505        0.019761       0.0246193
    262144          258725               1               1             0.1            0.42       -0.253302               1               0        0.509071        0.018643       0.0246875
    262144          258416               1               1             0.1            0.44       -0.135498               1               0        0.510538      0.00764206       0.0246571
    262144          258588               1               1             0.1            0.46      -0.0759477               1               0        0.501607      0.00291639       0.0246747
    262144          258438               1               1             0.1            0.48      -0.0340698               1               0        0.499956     0.000667768       0.0246754
    262144          258309               1               1             0.1             0.5     4.44089e-16               1               0             0.5               0       0.0246524
    262144          258067               1               1             0.1            0.52       0.0463183               1               0        0.497587     0.000944893       0.0245803
    262144          258375               1               1             0.1            0.54       0.0800492               1               0        0.499531      0.00333005       0.0246074
    262144          258211               1               1             0.1            0.56        0.130904               1               0        0.497715      0.00832548       0.0255418
    262144          258412               1               1             0.1            0.58        0.108575               1               0        0.512372      0.00938086       0.0247169
    262144          258051               1               1             0.1             0.6        0.151645               1               0        0.508932        0.016681       0.0246713
    262144          258103               1               1             0.1            0.62        0.176547               1               0         0.52127        0.023728       0.0247256
    262144          257668               1               1             0.1            0.64        0.247512               1               0         0.49171        0.039503       0.0247077
    262144          257656               1               1             0.1            0.66        0.265983               1               0        0.506432       0.0493664        0.024613
    262144          257652               1               1             0.1            0.68          0.2655               1               0        0.510204       0.0563921       0.0245836
    262144          257889               1               1             0.1             0.7        0.212723               1               0        0.532506       0.0510535       0.0245771
    262144          257695               1               1             0.1            0.72        0.275811               1               0        0.522772       0.0740277       0.0245656
    262144          257247               1               1             0.1            0.74        0.396095               1               0        0.498898        0.117878       0.0246039
    262144          257737               1               1             0.1            0.76        0.259522               1               0        0.554435       0.0850195        0.024619
