 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          261837               3             100             0.1             0.1        -3585.08               1        -121.039         390.182         860.419         6.26726
    262144          261737               3             100             0.1            0.12        -2510.27               1        -100.784         330.416         591.419         6.27925
    262144          261610               3             100             0.1            0.14        -1765.74               1        -81.4641         288.916         406.827         6.31763
    262144          261437               3             100             0.1            0.16        -1337.66               1        -71.0747         258.526         300.171         6.56064
    262144          261374               3             100             0.1            0.18        -997.196               1        -59.9781         235.182          216.99         6.79188
    262144          261190               3             100             0.1             0.2        -790.365               1        -51.8969         217.579         165.977         6.43986
    262144          261080               3             100             0.1            0.22        -627.985               1        -46.2701           203.3         126.602         6.30665
    262144          260895               3             100             0.1            0.24        -507.254               1        -40.3179         192.297         97.5957         6.36593
    262144          260796               3             100             0.1            0.26        -409.561               1        -35.4555         183.318          74.704          6.3153
    262144          260590               3             100             0.1            0.28        -334.306               1        -31.4462         176.059         57.3669         6.27029
    262144          260385               3             100             0.1             0.3        -270.259               1        -26.9261          170.05         43.2414         6.35025
    262144          260178               3             100             0.1            0.32        -215.986               1         -23.036         165.199         31.8796         6.47865
    262144          260045               3             100             0.1            0.34        -176.215               1        -20.0176         161.323         23.6834         6.55679
    262144          259873               3             100             0.1            0.36        -141.062               1        -16.7981         158.194         16.9838         6.54987
    262144          259625               3             100             0.1            0.38         -111.95               1        -14.1137         155.685          11.822         6.33633
    262144          259511               3             100             0.1             0.4        -84.4209               1        -11.2735         153.738         7.59788         6.41028
    262144          259255               3             100             0.1            0.42         -63.781               1        -8.97976         152.274         4.69428         6.48852
    262144          259122               3             100             0.1            0.44        -44.3865               1        -6.51592         151.239          2.5034         6.43478
    262144          258892               3             100             0.1            0.46        -27.6879               1        -4.21756          150.51         1.06322         6.46074
    262144          258693               3             100             0.1            0.48        -12.9363               1        -2.07455         150.124        0.253552         6.34433
    262144          258444               3             100             0.1             0.5     9.96806e-10               1     8.00355e-11             150               0         6.32822
    262144          258189               3             100             0.1            0.52         11.3836               1         1.97434         150.113        0.232226         6.43901
    262144          257886               3             100             0.1            0.54         21.8021               1         3.93391         150.438        0.906968         6.31347
    262144          257692               3             100             0.1            0.56         31.1076               1         5.81113         150.949         1.97844         6.42587
    262144          257454               3             100             0.1            0.58         39.3919               1         7.61138         151.648         3.40346          6.5171
    262144          257245               3             100             0.1             0.6         47.0425               1         9.46321         152.504         5.17467         6.48817
    262144          257063               3             100             0.1            0.62         53.5233               1         11.0359         153.479         7.19353         6.43114
    262144          256718               3             100             0.1            0.64         59.2582               1         12.6549         154.586         9.45761         6.43596
    262144          256418               3             100             0.1            0.66         65.8013               1         14.4376         155.816         12.2127         6.32623
    262144          256211               3             100             0.1            0.68         70.4534               1         15.8882         157.146         14.9643         6.32181
    262144          255946               3             100             0.1             0.7         74.2655               1         17.4022         158.616         17.8237         6.38062
    262144          255597               3             100             0.1            0.72         79.2519               1         19.2152         160.084         21.2712         6.49141
    262144          255394               3             100             0.1            0.74         83.7273               1          20.501         161.671         24.9172         6.54822
    262144          255039               3             100             0.1            0.76         87.0702               1         21.9974         163.348         28.5242         6.58153
    262144          254828               3             100             0.1            0.78         89.6413               1          23.216         165.105         32.1274         6.55751
    262144          254725               3             100             0.1             0.8         93.2284               1         25.0307           166.9         36.3591         6.60568
    262144          254345               3             100             0.1            0.82         97.6298               1         26.5718         168.747         41.2388         6.43712
    262144          254097               3             100             0.1            0.84         99.7325               1         28.1266         170.675         45.4381          6.3999
    262144          253805               3             100             0.1            0.86          101.64               1         29.0299         172.622         49.7631         6.88459
    262144          253156               3             100             0.1            0.88         104.788               1         30.7359         174.537         54.9507         6.61302
    262144          253165               3             100             0.1             0.9          106.33               1         31.8309         176.688         59.5446         6.83789
    262144          252773               3             100             0.1            0.92         108.229               1         33.1927         178.757         64.5477         6.77603
    262144          252592               3             100             0.1            0.94         111.751               1         34.8444          180.86         70.8052         7.11283
    262144          252180               3             100             0.1            0.96         113.258               1         36.4778          183.08         76.0639         6.71439
    262144          251931               3             100             0.1            0.98         115.637               1         37.6515         185.217         82.1485         6.64285
    262144          251619               3             100             0.1               1         116.876               1         39.1038         187.479         87.6573         6.64032
    262144          251302               3             100             0.1            1.02         117.149               1          39.902         189.783         92.5948         6.63501
    262144          251017               3             100             0.1            1.04         119.351               1          41.552         192.032         99.2525         6.60665
    262144          250725               3             100             0.1            1.06         120.673               1         42.5588         194.321          105.42         6.66651
    262144          250242               3             100             0.1            1.08         121.228               1         43.9078         196.728         111.093         6.59288
    262144          249935               3             100             0.1             1.1         123.202               1         45.0326         199.064         118.274         6.47632
    262144          249563               3             100             0.1            1.12         124.848               1         46.4901          201.49         125.398         6.44802
    262144          249339               3             100             0.1            1.14         125.799               1         47.8927         203.884         132.039         6.42422
    262144          249008               3             100             0.1            1.16         126.156               1         48.6557         206.283         138.216         6.49923
    262144          248509               3             100             0.1            1.18         126.613               1         49.9286         208.793         144.643         6.58879
    262144          248354               3             100             0.1             1.2         127.663               1         51.0104          211.22         151.919         6.43671
    262144          248125               3             100             0.1            1.22         129.117               1         52.6111         213.747         159.898         6.48917
    262144          247543               3             100             0.1            1.24         129.499               1          53.547         216.168         166.743         6.46419
    262144          247079               3             100             0.1            1.26         129.741               1         54.3307         218.747         173.542          6.3865
    262144          246855               3             100             0.1            1.28         131.499               1         55.8405         221.301         182.573         6.30481
    262144          246525               3             100             0.1             1.3         132.467               1         57.6646         223.782         190.753         6.26846
    262144          246018               3             100             0.1            1.32         133.174               1         58.5563         226.335         198.749         6.69834
    262144          245876               3             100             0.1            1.34         133.401               1         59.4728          228.91         206.184         6.28469
    262144          245309               3             100             0.1            1.36         134.347               1         60.9546         231.616         214.901         6.27224
    262144          244923               3             100             0.1            1.38         135.014               1          62.433         234.237         223.368         6.26262
    262144          244658               3             100             0.1             1.4         135.394               1         63.2987           236.8         231.524         6.22775
    262144          244433               3             100             0.1            1.42         135.582               1          64.044         239.413         239.492         6.23112
    262144          243974               3             100             0.1            1.44         137.872               1         66.2466          241.94         251.424          6.3018
    262144          243516               3             100             0.1            1.46         136.927               1          66.702         244.623         257.642          6.3224
    262144          243384               3             100             0.1            1.48         137.122               1         67.8132         247.207         266.071         6.26768
    262144          242698               3             100             0.1             1.5         137.663               1         68.6144         249.957         275.327         6.27076
    262144          242379               3             100             0.1            1.52         139.533               1         70.8587         252.763         287.493         6.28304
    262144          241853               3             100             0.1            1.54         138.382               1         70.9971          255.32         293.592         6.26838
    262144          241567               3             100             0.1            1.56         139.748               1         72.5767         258.009         305.154         6.28919
    262144          241317               3             100             0.1            1.58         139.566               1         73.5699         260.668         313.522         6.29578
    262144          240936               3             100             0.1             1.6         140.889               1         75.4987         263.484         325.454         6.39821
    262144          240409               3             100             0.1            1.62         140.579               1         75.8392         266.159         333.791         6.39527
    262144          239862               3             100             0.1            1.64         140.326               1         76.5519         268.853          342.34         6.44364
    262144          239652               3             100             0.1            1.66         141.448               1         78.2049         271.539         354.412         6.54084
    262144          239004               3             100             0.1            1.68         141.397               1          79.339         274.187         363.728         6.57935
    262144          238617               3             100             0.1             1.7         141.841               1         80.3239         277.045          374.46         6.62488
    262144          238528               3             100             0.1            1.72         141.083               1         81.0795         279.756         382.109         6.61307
    262144          237855               3             100             0.1            1.74         142.545               1         83.1155         282.547         395.934         6.40443
    262144          237759               3             100             0.1            1.76         143.099               1         84.0762         285.318          407.49         6.40006
    262144          237382               3             100             0.1            1.78         142.014               1         83.8592         288.076         414.454         6.73407
    262144          236719               3             100             0.1             1.8         142.975               1          85.961         290.785         427.495         6.47937
    262144          236466               3             100             0.1            1.82         143.922               1         87.4608         293.628         440.746         6.59054
    262144          235892               3             100             0.1            1.84         144.235               1         89.0078         296.437         452.263         6.37569
    262144          235809               3             100             0.1            1.86         144.005               1         89.3249          299.24           462.2          6.3767
    262144          235163               3             100             0.1            1.88         144.072               1         89.6812         301.895         473.191         6.30621
    262144          234598               3             100             0.1             1.9         144.709               1         91.9088           304.8         486.221         6.34035
    262144          234274               3             100             0.1            1.92         143.607               1         92.0655         307.639         493.492         6.68343
    262144          233822               3             100             0.1            1.94         143.813               1          93.205         310.419         505.301         6.63646
    262144          233547               3             100             0.1            1.96         144.913               1         95.4375         313.097         520.468         6.58517
    262144          233145               3             100             0.1            1.98         144.551               1         95.2477         315.879         530.561         6.60296
    262144          232538               3             100             0.1               2         144.984               1         97.2188         318.746         543.688          6.4684
    262144          231939               3             100             0.1            2.02         145.084               1         97.2615         321.543         555.729         6.49655
    262144          231652               3             100             0.1            2.04         145.373               1         98.8004          324.36          568.64         6.54838
    262144          231131               3             100             0.1            2.06         145.445               1         100.174         327.139         580.848         6.50524
    262144          230559               3             100             0.1            2.08         145.114               1         100.551         329.954         591.543          6.4502
