 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           64629               3              10            0.01             0.3        -42.4449         2.82843        -2.66318         27.5623         14.1062         0.72974               2
     65536           64619               3              10            0.01             0.3        -45.9294         2.82843        -2.73413         27.7063         14.8581        0.729559               6
     65536           64614               3              10            0.01             0.3        -44.7348         2.82843        -2.79493         27.4234         14.8333        0.740655               4
     65536           64610               3              10            0.01             0.3         -41.846         2.82843        -2.77156         27.8043         14.3115        0.737583               5
     65536           64633               3              10            0.01             0.3        -43.0894         2.82843        -2.71603         27.3493         14.3555        0.739156               0
     65536           64536               3              10            0.01             0.3        -41.0174         2.82843        -2.52703         27.3707         13.5046         0.74746               3
     65536           64637               3              10            0.01             0.3        -41.5001         2.82843        -2.60489         27.6877         13.7954        0.742465               1
     65536           64627               3              10            0.01             0.3        -39.0402         2.82843        -2.68419         27.5208         13.6221        0.743486               7
     65536           63199               3              10            0.01        0.759294         13.9583         2.82843         2.22337         26.5541         9.60277        0.722143               6
     65536           63331               3              10            0.01        0.724449         12.8255         2.82843         1.88811         25.9592         7.30982        0.726339               2
     65536           63240               3              10            0.01         0.71846         12.8678         2.82843         1.93979         25.8116         7.22114        0.719429               5
     65536           63273               3              10            0.01        0.730894         13.2414         2.82843         1.97695         25.9644         7.82559         0.71673               0
     65536           63379               3              10            0.01        0.710174         12.2442         2.82843          1.8564         25.8182         6.62619        0.718938               3
     65536           63393               3              10            0.01        0.715001         12.6612         2.82843         1.93582         25.7416          7.0403        0.715759               1
     65536           63273               3              10            0.01        0.747348         14.0399         2.82843         2.21433         26.1834         9.15396        0.770732               4
     65536           63387               3              10            0.01        0.690402         11.6388         2.82843         1.67993         25.5166         5.55396        0.720261               7
     65536           63693               3              10            0.01        0.596194         7.47292         2.82843         0.89551         24.6829         1.63671        0.719395               2
     65536           63582               3              10            0.01        0.619711         9.32826         2.82843         1.17074         24.8201         2.59959         0.72741               6
     65536           63708               3              10            0.01        0.589782          7.1258         2.82843        0.882503          24.611         1.48189        0.722071               5
     65536           63676               3              10            0.01        0.598481         7.79338         2.82843        0.916655         24.6903          1.7316        0.714654               0
     65536           63693               3              10            0.01        0.588389         6.96557         2.82843        0.837784         24.6095         1.40504        0.719331               1
     65536           63730               3              10            0.01        0.587733          7.0945         2.82843        0.876576          24.585          1.4395        0.727201               3
     65536           63803               3              10            0.01        0.574014          5.9315         2.82843        0.710194          24.535         1.00109        0.725035               7
     65536           63629               3              10            0.01        0.606949         8.32582         2.82843         1.06748         24.6618         2.09579        0.753004               4
     65536           64002               3              10            0.01        0.521465         2.07834         2.82843        0.223758         24.3359        0.100481        0.716087               2
     65536           63877               3              10            0.01        0.526429          2.5658         2.82843        0.269252         24.3476        0.149165        0.726813               6
     65536           63932               3              10            0.01        0.518524         1.89361         2.82843         0.19186         24.3267       0.0774261        0.722376               5
     65536           63942               3              10            0.01        0.520547         2.04081         2.82843        0.209558         24.3252       0.0924293        0.714868               0
     65536           63910               3              10            0.01        0.518734         1.82583         2.82843         0.18954         24.3375       0.0762879        0.722955               1
     65536           64002               3              10            0.01        0.516788         1.68079         2.82843         0.18236         24.3191       0.0646598        0.725393               3
     65536           63960               3              10            0.01        0.514699         1.49854         2.82843        0.156055         24.3193       0.0500853        0.722293               7
     65536           63931               3              10            0.01        0.523691         2.33246         2.82843        0.241729         24.3434         0.12129        0.720173               4
     65536           64041               3              10            0.01        0.500681        0.226488         2.82843        0.013528         24.3178      0.00117621        0.715603               2
     65536           63997               3              10            0.01        0.500139        0.183627         2.82843      0.00889575         24.3187     0.000869279        0.716355               0
     65536           64016               3              10            0.01        0.500771        0.239719         2.82843       0.0144716         24.3172      0.00129691        0.728511               6
     65536           64040               3              10            0.01        0.499587        0.129602         2.82843      0.00336017         24.3166       0.0006189        0.737996               5
     65536           64032               3              10            0.01        0.500475        0.213158         2.82843       0.0124817         24.3161      0.00105144        0.724416               1
     65536           63941               3              10            0.01         0.49998        0.160115         2.82843       0.0065273         24.3187     0.000790582        0.727339               3
     65536           64005               3              10            0.01        0.499713        0.141699         2.82843      0.00473626         24.3174     0.000690213        0.722169               7
     65536           63986               3              10            0.01        0.500366         0.19513         2.82843       0.0109534         24.3174     0.000960439        0.721263               4
     65536           63955               3              10            0.01        0.498416       0.0120447         2.82843     -0.00880295         24.3183     0.000528942        0.756002               2
     65536           63972               3              10            0.01        0.498303     -0.00425671         2.82843        -0.01039         24.3192     0.000565383         0.73489               0
     65536           64005               3              10            0.01        0.498374      0.00958683         2.82843     -0.00997039         24.3185     0.000561988        0.743559               6
     65536           64053               3              10            0.01        0.498291      0.00835457         2.82843     -0.00959279         24.3186     0.000554098        0.735832               5
     65536           64041               3              10            0.01        0.498344     -0.00238242         2.82843      -0.0102141         24.3179     0.000544334        0.745097               1
     65536           63942               3              10            0.01        0.498296     0.000465889         2.82843      -0.0098352         24.3173     0.000531324        0.737015               7
