 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
     65536           62765               3             100            0.01             0.3        -415.446         2.82843        -27.8024         282.759         421.648         59.2415
     65536           58895               3             100            0.01        0.715446         145.326         2.82843         21.4751         257.381         1080.75         59.2782
     65536           60274               3             100            0.01         0.57012         70.4734         2.82843         9.12251         248.114         788.327         59.2514
     65536           60848               3             100            0.01        0.499646          17.212         2.82843        0.855594         247.616         614.638         59.5538
     65536           61052               3             100            0.01        0.482434        -8.63776         2.82843        -1.47217         248.189         543.498          59.167
     65536           61134               3             100            0.01        0.491072         6.12974         2.82843      -0.0154962          247.85         625.729         59.0816
     65536           61053               3             100            0.01        0.484942        -1.86554         2.82843       -0.537422         248.151         562.228         59.1412
     65536           61023               3             100            0.01        0.486808         3.89018         2.82843      -0.0209069          248.11         546.758         59.2487
     65536           61192               3             100            0.01        0.482918        -1.36166         2.82843       -0.784517         248.102         758.785         59.2279
     65536           60998               3             100            0.01        0.484279        -1.58793         2.82843        -0.89575         248.148         569.579         59.1998
     65536           60959               3             100            0.01        0.485867        -8.95293         2.82843        -1.41098         248.099         581.934         59.2299
     65536           60895               3             100            0.01         0.49482         13.3227         2.82843        0.786739         247.692         655.317         59.2808
     65536           61007               3             100            0.01        0.481498        -7.90065         2.82843        -1.30543         248.181         503.757         59.2443
     65536           60958               3             100            0.01        0.489398        -2.51723         2.82843       -0.290291         247.869         623.274         59.6415
     65536           61062               3             100            0.01        0.491915         4.27853         2.82843       -0.093265          247.55          677.17         59.2719
     65536           60936               3             100            0.01        0.487637       -0.561936         2.82843       -0.449189         247.841         633.733         59.3233
     65536           61127               3             100            0.01        0.488199        -1.84879         2.82843       -0.361785         247.811         604.611         59.3903
     65536           60997               3             100            0.01        0.490048         3.25368         2.82843       -0.485965         247.948         566.341         59.2787
     65536           60995               3             100            0.01        0.486794         1.17197         2.82843       -0.737954         248.066         573.984         59.1811
     65536           60991               3             100            0.01        0.485622        -1.93809         2.82843       -0.835617         248.129         579.276         59.2612
     65536           61043               3             100            0.01         0.48756        -2.30622         2.82843        -1.44145         248.022         674.697          59.248
     65536           61013               3             100            0.01        0.489866         4.86451         2.82843       -0.613017         248.138          529.91         59.2428
     65536           61000               3             100            0.01        0.485002        -5.46327         2.82843        -1.26621         248.006         548.365         59.6663
     65536           60913               3             100            0.01        0.490465         6.11155         2.82843        0.138802          247.92         614.816         59.3345
     65536           60903               3             100            0.01        0.484354        -5.67701         2.82843         -1.6639         248.035         575.547          59.514
     65536           60868               3             100            0.01        0.490031      -0.0974837         2.82843       -0.322396         247.923         631.411         59.2201
     65536           61085               3             100            0.01        0.490128         1.37836         2.82843        -0.18442         248.105         512.656         59.3241
     65536           61097               3             100            0.01         0.48875       -0.790415         2.82843       -0.699928         248.012         571.874         59.2882
     65536           60961               3             100            0.01         0.48954         8.10139         2.82843        0.029984         247.933         614.083         59.3524
     65536           61212               3             100            0.01        0.481439        -3.36171         2.82843        -1.23927          248.35         545.043         59.2292
     65536           60956               3             100            0.01          0.4848        -6.04068         2.82843       -0.649944         248.115          592.63         59.0996
     65536           60842               3             100            0.01        0.490841         1.12141         2.82843       -0.440692         247.864         618.884         59.5435
     65536           60987               3             100            0.01         0.48972        0.563603         2.82843       -0.838861         247.667         591.318         59.3911
     65536           60948               3             100            0.01        0.489156          2.7663         2.82843        -1.19122         248.003         611.982          59.768
     65536           60965               3             100            0.01         0.48639        -2.73746         2.82843       -0.969034         248.209         500.636          59.619
     65536           60993               3             100            0.01        0.489127         1.89268         2.82843        -0.37425         248.202          528.68         59.2099
     65536           61116               3             100            0.01        0.487235         1.74681         2.82843        -0.83578         247.964         555.509         59.2019
     65536           61096               3             100            0.01        0.485488        -4.16514         2.82843       -0.983129         248.063          690.83         59.2063
     65536           61072               3             100            0.01        0.489653         2.46033         2.82843       -0.424788         248.064         515.384         59.5191
     65536           61016               3             100            0.01        0.487193        0.248497         2.82843       -0.308726         247.869         501.749         59.2413
     65536           60969               3             100            0.01        0.486944        -2.89638         2.82843       -0.760592         248.249          573.23         59.5237
     65536           61064               3             100            0.01         0.48984        -3.21552         2.82843       -0.592709         247.873         548.201         59.1471
     65536           60939               3             100            0.01        0.493056        -3.67844         2.82843       -0.156626         247.502         801.824         59.2285
     65536           61043               3             100            0.01        0.496734           11.44         2.82843        0.574212         247.621         533.488         59.2462
     65536           61009               3             100            0.01        0.485294        -4.60866         2.82843        -1.14238         247.901         568.891         59.2252
     65536           60925               3             100            0.01        0.489903         1.32356         2.82843       -0.261492         248.042         556.828         59.1689
     65536           60984               3             100            0.01         0.48858         2.80712         2.82843       -0.230849         247.971         519.322         59.4238
     65536           61116               3             100            0.01        0.485772        -4.65105         2.82843       -0.727176         247.932         528.234         59.2937
     65536           61134               3             100            0.01        0.490423         2.53535         2.82843       -0.225964         247.712         635.328         59.2934
     65536           60862               3             100            0.01        0.487888        -4.07181         2.82843       -0.958695         247.875         528.273         59.2534
     65536           60989               3             100            0.01         0.49196         1.28422         2.82843       -0.632971         247.995         508.146         59.1651
     65536           60867               3             100            0.01        0.490676         5.90672         2.82843      -0.0685749         247.818         611.766         59.3309
     65536           60889               3             100            0.01        0.484769        -7.51972         2.82843        -1.58635         248.156         515.236         59.2624
     65536           61123               3             100            0.01        0.492289         1.89629         2.82843       -0.237386         247.782         542.657         59.1327
     65536           60919               3             100            0.01        0.490392          3.7508         2.82843       -0.254863         247.837         611.497          59.208
     65536           60931               3             100            0.01        0.486642        0.608407         2.82843       -0.537279         248.073         589.479         59.3081
     65536           61023               3             100            0.01        0.486033         -2.8145         2.82843       -0.732499          248.01         644.861         59.2466
     65536           61013               3             100            0.01        0.488848        -1.80204         2.82843       -0.464994         247.972         562.063         59.1746
     65536           60870               3             100            0.01         0.49065       -0.952743         2.82843       -0.403143         247.931         601.878         59.1424
     65536           60946               3             100            0.01        0.491602         6.07859         2.82843       0.0194519         247.918          481.83         59.2457
     65536           61009               3             100            0.01        0.485524        -1.95653         2.82843       -0.270623         247.998         615.088         59.2235
     65536           60930               3             100            0.01         0.48748        -8.62007         2.82843         -1.0216         247.996         602.337         59.1847
     65536           60937               3             100            0.01          0.4961          9.3567         2.82843       -0.127911         247.587         774.997         59.4651
     65536           61032               3             100            0.01        0.486744         -1.0842         2.82843       -0.404579         247.985         634.458         59.3419
     65536           61051               3             100            0.01        0.487828        -1.48803         2.82843       -0.398018          248.01         551.222         59.2735
     65536           61086               3             100            0.01        0.489316        -6.12413         2.82843        -1.26771          247.83         690.102         59.1891
     65536           60892               3             100            0.01         0.49544         3.46493         2.82843       0.0422636          247.93         600.643         59.2266
     65536           61022               3             100            0.01        0.491975         1.14194         2.82843       -0.427767         247.969         582.968         59.9301
     65536           60972               3             100            0.01        0.490833         4.52175         2.82843         0.25749         247.871         597.305         59.1419
     65536           61098               3             100            0.01        0.486312         2.55338         2.82843       -0.920817         248.142         581.926         59.1793
     65536           61169               3             100            0.01        0.483758        -8.17762         2.82843       -0.977801         248.041         609.967         59.2629
     65536           61037               3             100            0.01        0.491936        0.314652         2.82843       -0.189603         247.837         715.269         59.2049
     65536           60873               3             100            0.01        0.491621         10.8037         2.82843         0.79745         247.876         754.055         59.1668
     65536           61057               3             100            0.01        0.480817        -8.58829         2.82843        -1.62778         248.242         567.411         59.2557
     65536           61056               3             100            0.01        0.489406         0.60312         2.82843       -0.659416         247.888         592.558         59.2001
     65536           60997               3             100            0.01        0.488803       -0.618997         2.82843       -0.816709         247.959         690.898         59.2631
     65536           61047               3             100            0.01        0.489422         4.47552         2.82843       -0.161702          248.02         567.051         59.1657
     65536           60993               3             100            0.01        0.484946        -2.89959         2.82843        -1.03793         247.918         554.093         59.2435
     65536           60966               3             100            0.01        0.487846        -1.38984         2.82843       -0.421352         247.843          642.95         59.2057
     65536           60983               3             100            0.01        0.489235         7.68967         2.82843       -0.528395         247.778         587.702         59.1174
     65536           61014               3             100            0.01        0.481546        -6.36148         2.82843       -0.960832         248.144         571.443         59.1322
     65536           60859               3             100            0.01        0.487907       -0.841244         2.82843       -0.764813         248.068          555.32         59.1399
     65536           61024               3             100            0.01        0.488749        0.218279         2.82843       -0.409686         247.967         521.455         59.0664
     65536           61003               3             100            0.01         0.48853        -2.43297         2.82843       -0.483395         247.913         553.553         59.3365
     65536           61011               3             100            0.01        0.490963         9.20148         2.82843      -0.0804808         247.985         588.688         59.0783
     65536           61014               3             100            0.01        0.481762         -3.6683         2.82843        -1.13659         248.033         588.003         59.0963
     65536           60955               3             100            0.01         0.48543       0.0941845         2.82843          -0.857         248.188         520.632         59.2757
     65536           61061               3             100            0.01        0.485336        -1.75726         2.82843          -0.681         247.835         669.093         59.2566
     65536           60961               3             100            0.01        0.487093       -0.548959         2.82843        -1.04375         247.862         599.645         59.1839
     65536           61026               3             100            0.01        0.487642         1.68812         2.82843       -0.393499         247.982         667.624         59.2186
     65536           61002               3             100            0.01        0.485954        -4.94218         2.82843       -0.361738         247.997         559.221         59.1541
     65536           61055               3             100            0.01        0.490896         2.80339         2.82843       -0.582958         247.962         562.358         59.2224
     65536           60966               3             100            0.01        0.488093         2.54361         2.82843        -0.73252         248.049         537.107         59.2426
     65536           61170               3             100            0.01        0.485549        -6.03667         2.82843        -1.19386         247.808          695.77         59.2778
     65536           61015               3             100            0.01        0.491586       -0.969511         2.82843        -0.32202         247.683         626.886         59.2598
     65536           60766               3             100            0.01        0.492555         6.75715         2.82843         0.54591         247.895         513.633         59.2383
     65536           60948               3             100            0.01        0.485798        -11.0862         2.82843        -1.18801         248.069         649.828         59.1605
     65536           61065               3             100            0.01        0.496884          8.5843         2.82843        0.164744         247.592         651.654         59.2355
     65536           61022               3             100            0.01          0.4883         3.09706         2.82843       -0.323386         247.853         564.925         59.2279
     65536           60965               3             100            0.01        0.485203        -3.61046         2.82843         -1.1241         248.149         522.027         59.2903
     65536           60928               3             100            0.01        0.488813         4.00451         2.82843       -0.237644         247.773         564.664         59.2407
     65536           60984               3             100            0.01        0.484809        -6.44799         2.82843        -1.39964         247.972          538.75         59.2307
     65536           60941               3             100            0.01        0.491257         1.61125         2.82843       -0.382196          248.11         579.562           59.26
     65536           61002               3             100            0.01        0.489646       -0.243412         2.82843       -0.339765         247.857         539.718         59.3057
     65536           61011               3             100            0.01        0.489889         1.39172         2.82843       -0.127859         247.954         552.596         59.3194
     65536           61067               3             100            0.01        0.488497        -3.24207         2.82843       -0.941027         248.096         627.414         59.2471
     65536           61075               3             100            0.01        0.491739         7.99641         2.82843        0.392899         247.836         842.023         59.2035
     65536           61071               3             100            0.01        0.483743        -10.4034         2.82843        -1.17722         248.084         681.415         59.1415
     65536           60836               3             100            0.01        0.494146         5.45292         2.82843      -0.0776376         247.766         558.033         59.2036
     65536           60968               3             100            0.01        0.488693         1.06983         2.82843       -0.113036          247.84         626.733         59.2153
     65536           60935               3             100            0.01        0.487624        -1.14719         2.82843       -0.577865         248.104         582.257         59.2077
     65536           61069               3             100            0.01        0.488771        -0.86376         2.82843       -0.444512         248.072         560.325         59.2501
     65536           60994               3             100            0.01        0.489635        -1.89513         2.82843       -0.497296         248.047         537.158         59.2681
     65536           60863               3             100            0.01         0.49153         3.17239         2.82843        0.420031         247.725         609.816         59.1609
     65536           61046               3             100            0.01        0.488357       -0.371785         2.82843       -0.274382         248.033         527.213         59.2159
     65536           60875               3             100            0.01        0.488729         0.98486         2.82843       -0.449407          247.99         560.881         59.2729
     65536           61020               3             100            0.01        0.487744        -4.18738         2.82843       -0.525474          247.89         567.524          59.228
     65536           61139               3             100            0.01        0.491932         8.38302         2.82843        0.306967         247.569         609.869         59.1839
     65536           60970               3             100            0.01        0.483549        -10.6831         2.82843        -0.85744         248.241         627.221         59.1451
     65536           60966               3             100            0.01        0.494232          3.7188         2.82843       0.0832883         247.608         670.158         59.4705
     65536           61049               3             100            0.01        0.490513         6.72939         2.82843        -0.17322         247.851         567.821         60.6692
     65536           61145               3             100            0.01        0.483784        -6.09688         2.82843        -1.12725         248.241         638.365         61.1588
